CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKNHPC28-OCT-2025,87.8600000,88.1200000,89.5900000,88.1200000,88.5000000,88.5000000,0.7200000,683.0000000,2208000.0000000,345.0000000,195947200.0000000
FUTSTKNHPC30-SEP-2025,87.4400000,87.7700000,89.2700000,87.6700000,88.0400000,88.0400000,0.6800000,7496.0000000,11168000.0000000,1745.0000000,987357696.0000000
FUTIDXNIFTY25-NOV-2025,25752.1000000,25712.0000000,25729.8000000,25605.0000000,25650.3000000,25650.3000000,-0.3900000,6275.0000000,146625.0000000,1955.0000000,3760583235.0000000
FUTIDXNIFTY28-OCT-2025,25629.1000000,25629.1000000,25629.1000000,25475.0000000,25534.5000000,25534.5000000,-0.3600000,30861.0000000,874950.0000000,11666.0000000,22330302487.5000000
FUTIDXNIFTY30-SEP-2025,25510.9000000,25474.0000000,25489.8000000,25352.0000000,25411.2000000,25411.2000000,-0.3900000,200097.0000000,4724025.0000000,62987.0000000,119998241362.5000000
FUTIDXNIFTYNXT5025-NOV-2025,70126.8000000,71800.0000000,71800.0000000,71800.0000000,71800.0000000,70520.6000000,0.5600000,3.0000000,25.0000000,1.0000000,1795000.0000000
FUTIDXNIFTYNXT5030-SEP-2025,69516.8000000,69598.2000000,69934.0000000,69572.2000000,69875.2000000,69875.2000000,0.5100000,702.0000000,9600.0000000,384.0000000,669501335.0000000
FUTIDXNIFTYNXT5028-OCT-2025,69850.2000000,69950.0000000,70329.8000000,69855.0000000,70277.0000000,70277.0000000,0.6100000,142.0000000,3400.0000000,136.0000000,238330375.0000000
FUTSTKNTPC30-SEP-2025,337.5500000,337.3000000,339.8500000,336.8000000,339.4500000,339.4500000,0.5600000,64451.0000000,7167000.0000000,4778.0000000,2429360475.0000000
FUTSTKNTPC28-OCT-2025,339.2500000,339.2000000,341.7000000,338.7000000,341.2500000,341.2500000,0.5800000,3465.0000000,1516500.0000000,1011.0000000,516551550.0000000
FUTSTKNTPC25-NOV-2025,338.2000000,338.2000000,340.9000000,338.2000000,340.5000000,340.5000000,0.6800000,473.0000000,136500.0000000,91.0000000,46384050.0000000
FUTSTKNUVAMA25-NOV-2025,6477.5000000,6428.0000000,6434.5000000,6428.0000000,6434.5000000,6434.5000000,-0.6600000,68.0000000,225.0000000,3.0000000,1446787.5000000
FUTSTKNUVAMA30-SEP-2025,6416.0000000,6445.0000000,6484.5000000,6408.0000000,6431.0000000,6431.0000000,0.2300000,4142.0000000,54525.0000000,727.0000000,350659875.0000000
FUTSTKNUVAMA28-OCT-2025,6421.5000000,6455.0000000,6479.0000000,6423.0000000,6450.0000000,6450.0000000,0.4400000,385.0000000,10725.0000000,143.0000000,69202950.0000000
FUTSTKOBEROIRLTY25-NOV-2025,1660.0000000,1687.3000000,1697.1000000,1687.3000000,1697.1000000,1689.0000000,1.7400000,51.0000000,1400.0000000,4.0000000,2368065.0000000
FUTSTKOBEROIRLTY28-OCT-2025,1669.8000000,1673.1000000,1694.0000000,1658.9000000,1681.6000000,1681.6000000,0.7000000,572.0000000,95900.0000000,274.0000000,160449660.0000000
FUTSTKOBEROIRLTY30-SEP-2025,1661.3000000,1664.5000000,1685.1000000,1648.9000000,1672.4000000,1672.4000000,0.6600000,13422.0000000,778400.0000000,2224.0000000,1298946775.0000000
FUTSTKOIL25-NOV-2025,403.7500000,405.0000000,407.0000000,404.0000000,404.0000000,408.6000000,1.2000000,81.0000000,36400.0000000,26.0000000,14752920.0000000
FUTSTKOIL28-OCT-2025,402.5000000,402.5000000,408.1000000,402.5000000,406.8500000,406.8500000,1.0800000,599.0000000,574000.0000000,410.0000000,233047500.0000000
FUTSTKOIL30-SEP-2025,400.4500000,400.6000000,406.3500000,400.0000000,404.6000000,404.6000000,1.0300000,8012.0000000,3145800.0000000,2247.0000000,1270922310.0000000
FUTSTKONGC28-OCT-2025,237.5900000,237.5300000,238.7500000,236.6200000,238.4000000,238.4000000,0.3400000,3198.0000000,3575250.0000000,1589.0000000,850611555.0000000
